fylke;fangstår;verdi
Finnmark;2000;70297
Finnmark;2001;74780
Finnmark;2002;82059
Finnmark;2003;79117
Finnmark;2004;80867
Finnmark;2005;91143
Finnmark;2006;91360
Finnmark;2007;94018
Finnmark;2008;95123
Finnmark;2009;101933
Finnmark;2010;122639
Finnmark;2011;133991
Finnmark;2012;132592
Finnmark;2013;133150
Finnmark;2014;126335
Finnmark;2015;114998
Finnmark;2016;124494
Finnmark;2017;142312
Finnmark;2018;126297
Finnmark;2019;110513
Troms;2000;69936
Troms;2001;69158
Troms;2002;79799
Troms;2003;76434
Troms;2004;75815
Troms;2005;75539
Troms;2006;81861
Troms;2007;70655
Troms;2008;65082
Troms;2009;71201
Troms;2010;91587
Troms;2011;104356
Troms;2012;113162
Troms;2013;124782
Troms;2014;123852
Troms;2015;111618
Troms;2016;115506
Troms;2017;117883
Troms;2018;114928
Troms;2019;103783
Nordland;2000;128817
Nordland;2001;134237
Nordland;2002;146263
Nordland;2003;144953
Nordland;2004;146342
Nordland;2005;145122
Nordland;2006;163411
Nordland;2007;149136
Nordland;2008;150890
Nordland;2009;154989
Nordland;2010;181837
Nordland;2011;189498
Nordland;2012;191947
Nordland;2013;202361
Nordland;2014;217784
Nordland;2015;198575
Nordland;2016;202864
Nordland;2017;213391
Nordland;2018;203115
Nordland;2019;187607
Nord-Trøndelag;2000;6369
Nord-Trøndelag;2001;5376
Nord-Trøndelag;2002;6236
Nord-Trøndelag;2003;5714
Nord-Trøndelag;2004;5012
Nord-Trøndelag;2005;4966
Nord-Trøndelag;2006;5914
Nord-Trøndelag;2007;5327
Nord-Trøndelag;2008;5032
Nord-Trøndelag;2009;4739
Nord-Trøndelag;2010;6646
Nord-Trøndelag;2011;6627
Nord-Trøndelag;2012;7450
Nord-Trøndelag;2013;8122
Nord-Trøndelag;2014;9830
Nord-Trøndelag;2015;8985
Nord-Trøndelag;2016;8020
Nord-Trøndelag;2017;7411
Nord-Trøndelag;2018;NaN
Nord-Trøndelag;2019;Nan
Sør-Trøndelag;2000;6833
Sør-Trøndelag;2001;6611
Sør-Trøndelag;2002;8180
Sør-Trøndelag;2003;7814
Sør-Trøndelag;2004;9614
Sør-Trøndelag;2005;8457
Sør-Trøndelag;2006;9370
Sør-Trøndelag;2007;7367
Sør-Trøndelag;2008;7219
Sør-Trøndelag;2009;5917
Sør-Trøndelag;2010;7198
Sør-Trøndelag;2011;8881
Sør-Trøndelag;2012;9927
Sør-Trøndelag;2013;11475
Sør-Trøndelag;2014;12136
Sør-Trøndelag;2015;11071
Sør-Trøndelag;2016;9858
Sør-Trøndelag;2017;9447
Sør-Trøndelag;2018;NaN
Sør-Trøndelag;2019;NaN
Møre og Romsdal;2000;130285
Møre og Romsdal;2001;121714
Møre og Romsdal;2002;147365
Møre og Romsdal;2003;157138
