Fartøyfylke/-kommune;Art - hovedgruppe;Fangstår;Measure Names;Measure Values
Finnmark;Torsk og torskeartet fisk;2000;Rundvekt (tonn);70297,4642
Finnmark;Torsk og torskeartet fisk;2001;Rundvekt (tonn);74780,9251
Finnmark;Torsk og torskeartet fisk;2002;Rundvekt (tonn);82059,2656
Finnmark;Torsk og torskeartet fisk;2003;Rundvekt (tonn);79117,2418
Finnmark;Torsk og torskeartet fisk;2004;Rundvekt (tonn);80867,9726
Finnmark;Torsk og torskeartet fisk;2005;Rundvekt (tonn);91143,15
Finnmark;Torsk og torskeartet fisk;2006;Rundvekt (tonn);91360,841600000
Finnmark;Torsk og torskeartet fisk;2007;Rundvekt (tonn);94018,883800000
Finnmark;Torsk og torskeartet fisk;2008;Rundvekt (tonn);95123,917
Finnmark;Torsk og torskeartet fisk;2009;Rundvekt (tonn);101933,8391
Finnmark;Torsk og torskeartet fisk;2010;Rundvekt (tonn);122639,3828
Finnmark;Torsk og torskeartet fisk;2011;Rundvekt (tonn);133991,7337
Finnmark;Torsk og torskeartet fisk;2012;Rundvekt (tonn);132592,4693
Finnmark;Torsk og torskeartet fisk;2013;Rundvekt (tonn);133150,3463
Finnmark;Torsk og torskeartet fisk;2014;Rundvekt (tonn);126335,034
Finnmark;Torsk og torskeartet fisk;2015;Rundvekt (tonn);114998,8177
Finnmark;Torsk og torskeartet fisk;2016;Rundvekt (tonn);124494,1992
Finnmark;Torsk og torskeartet fisk;2017;Rundvekt (tonn);142312,8059
Finnmark;Torsk og torskeartet fisk;2018;Rundvekt (tonn);126297,91511
Finnmark;Torsk og torskeartet fisk;2019;Rundvekt (tonn);110513,31752
Finnmark;Torsk og torskeartet fisk;2020;Rundvekt (tonn);NaN
Finnmark;Torsk og torskeartet fisk;2021;Rundvekt (tonn);NaN
