Fartøyfylke/-kommune;Art - hovedgruppe;Fangstår;Measure Names;Measure Values
Møre og Romsdal;Torsk og torskeartet fisk;2000;Rundvekt (tonn);130285,0441
Møre og Romsdal;Torsk og torskeartet fisk;2001;Rundvekt (tonn);121714,1573
Møre og Romsdal;Torsk og torskeartet fisk;2002;Rundvekt (tonn);147365,4815
Møre og Romsdal;Torsk og torskeartet fisk;2003;Rundvekt (tonn);157138,5041
Møre og Romsdal;Torsk og torskeartet fisk;2004;Rundvekt (tonn);159394,1951
Møre og Romsdal;Torsk og torskeartet fisk;2005;Rundvekt (tonn);165142,7598
Møre og Romsdal;Torsk og torskeartet fisk;2006;Rundvekt (tonn);166913,2433
Møre og Romsdal;Torsk og torskeartet fisk;2007;Rundvekt (tonn);161283,125
Møre og Romsdal;Torsk og torskeartet fisk;2008;Rundvekt (tonn);161516,8801
Møre og Romsdal;Torsk og torskeartet fisk;2009;Rundvekt (tonn);174577,6145
Møre og Romsdal;Torsk og torskeartet fisk;2010;Rundvekt (tonn);180871,8103
Møre og Romsdal;Torsk og torskeartet fisk;2011;Rundvekt (tonn);195864,5199
Møre og Romsdal;Torsk og torskeartet fisk;2012;Rundvekt (tonn);185500,7319
Møre og Romsdal;Torsk og torskeartet fisk;2013;Rundvekt (tonn);182893,9038
Møre og Romsdal;Torsk og torskeartet fisk;2014;Rundvekt (tonn);180243,8424
Møre og Romsdal;Torsk og torskeartet fisk;2015;Rundvekt (tonn);171339,7197
Møre og Romsdal;Torsk og torskeartet fisk;2016;Rundvekt (tonn);164639,6557
Møre og Romsdal;Torsk og torskeartet fisk;2017;Rundvekt (tonn);169478,8638
Møre og Romsdal;Torsk og torskeartet fisk;2018;Rundvekt (tonn);172367,76454
Møre og Romsdal;Torsk og torskeartet fisk;2019;Rundvekt (tonn);166062,58751
Møre og Romsdal;Torsk og torskeartet fisk;2020;Rundvekt (tonn);158615,952839999
Møre og Romsdal;Torsk og torskeartet fisk;2021;Rundvekt (tonn);162205,90834
