Fartøyfylke/-kommune;Art - hovedgruppe;Fangstår;Measure Names;Measure Values
Total;Torsk og torskeartet fisk;2000;Rundvekt (tonn);479611
Total;Torsk og torskeartet fisk;2001;Rundvekt (tonn);469324
Total;Torsk og torskeartet fisk;2002;Rundvekt (tonn);526549
Total;Torsk og torskeartet fisk;2003;Rundvekt (tonn);522831
Total;Torsk og torskeartet fisk;2004;Rundvekt (tonn);537712
Total;Torsk og torskeartet fisk;2005;Rundvekt (tonn);550812
Total;Torsk og torskeartet fisk;2006;Rundvekt (tonn);585860
Total;Torsk og torskeartet fisk;2007;Rundvekt (tonn);556155
Total;Torsk og torskeartet fisk;2008;Rundvekt (tonn);558543
Total;Torsk og torskeartet fisk;2009;Rundvekt (tonn);587752
Total;Torsk og torskeartet fisk;2010;Rundvekt (tonn);676779
Total;Torsk og torskeartet fisk;2011;Rundvekt (tonn);725708
Total;Torsk og torskeartet fisk;2012;Rundvekt (tonn);730034
Total;Torsk og torskeartet fisk;2013;Rundvekt (tonn);753658
Total;Torsk og torskeartet fisk;2014;Rundvekt (tonn);757699
Total;Torsk og torskeartet fisk;2015;Rundvekt (tonn);711528
Total;Torsk og torskeartet fisk;2016;Rundvekt (tonn);720997
Total;Torsk og torskeartet fisk;2017;Rundvekt (tonn);748928
Total;Torsk og torskeartet fisk;2018;Rundvekt (tonn);718241
Total;Torsk og torskeartet fisk;2019;Rundvekt (tonn);668415
Total;Torsk og torskeartet fisk;2020;Rundvekt (tonn);654431
Total;Torsk og torskeartet fisk;2021;Rundvekt (tonn);697274
